what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400794135425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400794142137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400794142847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400794143602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400794148818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400794152270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400794200726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400794217440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1400794237085
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1400794252405
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1400794259061
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1400794263063
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1400794268537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400794271424
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1400794276649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1400794276649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1400794277524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1400794283607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400794285214
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1400794285840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400794290318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400794294944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400794305983
error,log,,,"Unhandled event loop exception",1400794306111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400794327086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400794347244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400794448851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400794453021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400794631836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400794710992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400795061560
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1400795064010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400795073059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400795641520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400795642254
